"FullName","Length","CreationTime","LastWriteTime"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.1591_none_24d501a973fa7371\personalDataExport-main.html","4137","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.1591_none_24d501a973fa7371\personalDataExport-page.js","3593","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.1591_none_24d501a973fa7371\personalDataExport-vm.js","11342","7/15/2025 5:41:19 PM","7/15/2025 5:41:19 PM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.8328_none_24e30d4d73f129a6\personalDataExport-main.html","4137","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.8328_none_24e30d4d73f129a6\personalDataExport-page.js","3449","9/11/2025 3:40:23 PM","9/11/2025 3:40:23 PM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.8328_none_24e30d4d73f129a6\personalDataExport-vm.js","9413","9/11/2025 3:40:23 PM","9/11/2025 3:40:23 PM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.8521_none_24ce0ced7400ae21\personalDataExport-main.html","4137","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.8521_none_24ce0ced7400ae21\personalDataExport-page.js","3449","9/11/2025 3:40:23 PM","9/11/2025 3:40:23 PM"
"C:\Windows\WinSxS\amd64_microsoft-windows-c..st.appxmain.desktop_31bf3856ad364e35_10.0.26100.8521_none_24ce0ced7400ae21\personalDataExport-vm.js","9413","9/11/2025 3:40:23 PM","9/11/2025 3:40:23 PM"
"C:\Windows\WinSxS\amd64_microsoft-windows-d..asks-sync.resources_31bf3856ad364e35_10.0.26100.1_en-us_e903fe0bd7914922\DxpTaskSync.dll.mui","29696","4/1/2024 3:06:21 AM","4/1/2024 3:06:21 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-d..asks-sync.resources_31bf3856ad364e35_10.0.26100.8115_en-us_87f3405c1ef29dfa\DxpTaskSync.dll.mui","29696","4/15/2026 12:54:00 AM","4/15/2026 12:54:00 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-d..asks-sync.resources_31bf3856ad364e35_10.0.26100.8115_en-us_87f3405c1ef29dfa\r\DxpTaskSync.dll.mui","497","4/15/2026 12:54:00 AM","4/15/2026 12:54:00 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-dxp-deviceexperience_31bf3856ad364e35_10.0.26100.8115_none_e3081674a9b52dfe\tasks.xml","11007","4/1/2024 2:22:45 AM","4/1/2024 2:22:45 AM"
